"Fatal","Day","Lat","Lon","NonUSA","Nonairplane","Phase","Event","Personal","Multiple"
1,137,41.2933,-74.5853,0,0,"Other","Other",0,0
0,137,30.1819,-82.5769,0,0,"LDG","ARC",0,0
0,137,49.9272,2.1947,1,0,"LDG","Other",1,0
1,138,33.4608,-111.7283,0,0,"MNV","LOC-I",1,0
0,138,39.2233,-121.0042,0,0,"LDG","LOC-G",0,0
1,139,38.495,-102.29,0,0,"MNV","LOC-I",0,0
0,139,37.7789,-89.2483,0,0,"LDG","LOC-G",1,0
0,139,40.5697,-122.4067,0,0,"LDG","LOC-G",0,0
0,139,61.1044,-151.3742,0,0,"TOF","ARC",0,0
0,139,42.57,-84.42,0,0,"LDG","Other",0,0
1,140,35.8575,-83.5197,0,0,"LDG","ARC",0,0
0,140,40.1386,-75.2636,0,0,"TOF","LOC-G",1,0
0,140,43.0292,-78.165,0,0,"TOF","LOC-G",1,0
0,140,42.2186,-92.0231,0,0,"LDG","LOC-G",0,0
0,140,41.5261,-93.7411,0,0,"ENR","FUEL",0,0
0,140,37.1278,-76.4958,0,0,"LDG","ARC",1,0
0,141,40.1242,-111.0017,0,1,"ENR","Other",0,0
0,141,32.8272,-116.9728,0,0,"LDG","LOC-G",0,0
0,141,39.4669,-77.0169,0,0,"LDG","LOC-G",0,0
0,142,39.0456,-104.2931,0,0,"LDG","ARC",0,0
0,142,45.7661,-93.1844,0,0,"LDG","ARC",0,0
0,142,46.2375,-118.1392,0,1,"Other","ARC",1,0
0,142,60.1267,-149.42,0,0,"LDG","ARC",1,0
0,143,34.0211,-118.4453,0,0,"TOF","SCF-PP",1,0
0,143,42.7214,-82.5964,0,0,"APR","SCF-NP",0,0
0,143,33.255,-84.4003,0,0,"LDG","Other",0,0
0,143,35.2344,-87.2581,0,0,"TOF","LOC-I",0,0
1,144,21.8958,-159.5997,0,0,"TOF","LOC-I",1,0
0,144,29.7183,-81.9806,0,0,"ENR","FUEL",0,0
0,144,33.4417,-94.0378,0,0,"ENR","SCF-NP",1,0
0,144,21.4636,-158.2153,0,0,"ENR","SCF-PP",0,0
0,144,38.13,-121.17,0,0,"APR","SCF-PP",0,0
0,145,40.9478,-99.9308,0,0,"MNV","LOC-I",1,0
1,145,38.2653,-77.8578,0,0,"Other","SCF-NP",1,0
0,145,39.29,-119.51,0,0,"ENR","SCF-PP",0,0
0,145,61.1872,-149.9658,0,0,"LDG","LOC-G",0,0
0,146,41.31,-74.5625,0,1,"ENR","Other",0,0
0,146,42.0711,-124.2872,0,0,"LDG","Other",0,0
0,148,39.0006,-119.7511,0,0,"LDG","ARC",0,0
1,148,40.7917,-73.9853,0,0,"ENR","SCF-PP",1,0
0,148,43.5828,-96.7428,0,0,"APR","Other",1,0
0,148,35.0206,-106.5878,0,0,"ENR","FUEL",1,0
0,148,61.1797,-148.6931,0,0,"LDG","LOC-G",0,0
0,148,37.8625,-120.1794,0,0,"LDG","LOC-G",0,0
0,148,30.2778,-81.8058,0,0,"LDG","LOC-G",0,0
